X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1,plane_predicted_m,plane_residual_m
67943.2500944062,224187.874422973,114,P02,perimeter_tin,,28.25,171.662555561122,5.58243179321289,5.5041959499690165,0.07823584324387323
67943.2863451196,224187.627065164,115,P02,perimeter_tin,,28.5,171.662555561122,5.57440710067749,5.505152821398042,0.06925427927944838
67943.322595833,224187.379707355,116,P02,perimeter_tin,,28.75,171.662555561122,5.56352853775024,5.5061096928266124,0.057418844923627255
67943.3588465464,224187.132349546,117,P02,perimeter_tin,,29.0,171.662555561122,5.56015682220459,5.50706656425541,0.05309025794917943
67943.3950972598,224186.884991736,118,P02,perimeter_tin,,29.25,171.662555561122,5.58259963989258,5.508023435688983,0.07457620420359667
67943.4313479733,224186.637633927,119,P02,perimeter_tin,,29.5,171.662555561122,5.60490465164185,5.5089803071173264,0.0959243445245237
67943.4675986867,224186.390276118,120,P02,perimeter_tin,,29.75,171.662555561122,5.61312913894653,5.509937178545897,0.10319196040063261
67943.5038494001,224186.142918309,121,P02,perimeter_tin,,30.0,171.662555561122,5.62765598297119,5.510894049974695,0.11676193299649462
67943.5401001135,224185.8955605,122,P02,perimeter_tin,,30.25,171.662555561122,5.63587236404419,5.511850921403493,0.12402144264069737
67943.5763508269,224185.64820269,123,P02,perimeter_tin,,30.5,171.662555561122,5.64279127120972,5.512807792837066,0.12998347837265456
67943.6126015404,224185.400844881,124,P02,perimeter_tin,,30.75,171.662555561122,5.62182521820068,5.513764664265182,0.1080605539354984
67943.6488522538,224185.153487072,125,P02,perimeter_tin,,31.0,171.662555561122,5.6048059463501,5.51472153569398,0.09008441065612072
67943.6851029672,224184.906129263,126,P02,perimeter_tin,,31.25,171.662555561122,5.59131336212158,5.515678407122778,0.07563495499880268
67943.7213536806,224184.658771453,127,P02,perimeter_tin,,31.5,171.662555561122,5.57934141159058,5.51663527855635,0.06270613303422934
67943.757604394,224184.411413644,128,P02,perimeter_tin,,31.75,171.662555561122,5.59251260757446,5.517592149984921,0.07492045758953925
67943.7938551074,224184.164055835,129,P02,perimeter_tin,,32.0,171.662555561122,5.59674739837646,5.518549021413946,0.07819837696251408
67943.7561446312,224183.917638074,130,P02,perimeter_tin,,32.25,189.7938273585,5.57960653305054,5.519934953165375,0.05967157988516458
67943.7136187969,224183.671281517,131,P02,perimeter_tin,,32.5,189.7938273585,5.58377981185913,5.521348819552486,0.06243099230664395
67943.6710929626,224183.424924959,132,P02,perimeter_tin,,32.75,189.7938273585,5.56210041046143,5.522762685944144,0.0393377245172859
67943.6285671283,224183.178568402,133,P02,perimeter_tin,,33.0,189.7938273585,5.54004716873169,5.524176552331028,0.015870616400662563
67943.5860412939,224182.932211844,134,P02,perimeter_tin,,33.25,189.7938273585,5.52971172332764,5.525590418723596,0.0041213046040446955
67943.5435154596,224182.685855287,135,P02,perimeter_tin,,33.5,189.7938273585,5.50667142868042,5.527004285110252,-0.020332856429831736
67943.5009896253,224182.439498729,136,P02,perimeter_tin,,33.75,189.7938273585,5.48448324203491,5.528418151502137,-0.043934909467227
67943.458463791,224182.193142172,137,P02,perimeter_tin,,34.0,189.7938273585,5.48599815368652,5.529832017889021,-0.043833864202500905
67943.4159379566,224181.946785614,138,P02,perimeter_tin,,34.25,189.7938273585,5.47853851318359,5.531245884281361,-0.052707371097771016
67943.3734121223,224181.700429057,139,P02,perimeter_tin,,34.5,189.7938273585,5.46214532852173,5.532659750668472,-0.07051442214674175
67943.315195312,224181.458017989,140,P02,perimeter_tin,,34.75,198.434948822922,5.45619297027588,5.534146933940065,-0.07795396366418483
67943.2361383705,224181.220847165,141,P02,perimeter_tin,,35.0,198.434948822922,5.46285390853882,5.535731493775984,-0.0728775852371637
67943.157081429,224180.98367634,142,P02,perimeter_tin,,35.25,198.434948822922,5.45302391052246,5.537316053616905,-0.08429214309444522
67943.0780244875,224180.746505516,143,P02,perimeter_tin,,35.5,198.434948822922,5.44219350814819,5.538900613453052,-0.09670710530486204
67942.998967546,224180.509334691,144,P02,perimeter_tin,,35.75,198.434948822922,5.43905544281006,5.540485173293746,-0.10142973048368553
67942.9199106045,224180.272163867,145,P02,perimeter_tin,,36.0,198.434948822922,5.44644212722778,5.5420697331298925,-0.09562760590211283
67942.8340039184,224180.037568369,146,P02,perimeter_tin,,36.25,202.774969549007,5.43029689788818,5.543682266507403,-0.11338536861922321
67942.7372257132,224179.80706028,147,P02,perimeter_tin,,36.5,202.774969549007,5.42368268966675,5.545339197873318,-0.12165650820656815
67942.6404475079,224179.576552191,148,P02,perimeter_tin,,36.75,202.774969549007,5.42695331573486,5.546996129239687,-0.1200428135048277
