fid,profile_id,orientation,notes,distance,angle,dsm_1,floor_1,height_1
180,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.8,98.6187854441811,8.62789344787598,6.17455434799194,2.45333909988403
181,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.9,98.6187854441811,8.6031494140625,6.17673969268799,2.42640972137451
182,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,5.99999999999999,98.6187854441811,8.5864429473877,6.17882776260376,2.40761518478394
183,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.09999999999999,98.6187854441811,8.56414222717285,6.18101263046265,2.38312959671021
184,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.19999999999999,98.6187854441811,8.52684116363525,6.18319797515869,2.34364318847656
185,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.29999999999999,98.6187854441811,8.49508190155029,6.18538284301758,2.30969905853271
186,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.39999999999999,98.6187854441811,8.474440574646,6.18747091293335,2.28696966171265
187,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.49999999999999,98.6187854441811,8.44448852539062,6.18965625762939,2.25483226776123
188,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.59999999999999,98.6187854441811,8.40506362915039,6.19184112548828,2.21322250366211
189,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.69999999999999,98.6187854441811,8.3593635559082,6.19402599334717,2.16533756256104
190,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.79999999999999,98.6187854441811,8.335618019104,6.19611406326294,2.13950395584106
191,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.89999999999999,98.6187854441811,8.31347465515137,6.19829940795898,2.11517524719238
192,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,6.99999999999999,98.6187854441811,8.27401828765869,6.20048427581787,2.07353401184082
193,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,7.09999999999999,98.6187854441811,8.24792194366455,6.20266962051392,2.04525232315063
194,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,7.19999999999999,98.6187854441811,8.20164012908936,6.20475769042969,1.99688243865967
195,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,7.29999999999999,98.6187854441811,8.14563274383545,6.20694255828857,1.93869018554688
