X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1
67937.9223902973,224172.594184929,182,P02,perimeter_tin,,45.25,224.309722801923,5.11259841918945
67937.7477561161,224172.415291377,183,P02,perimeter_tin,,45.5,224.309722801923,5.11202430725098
67937.5731219349,224172.236397826,184,P02,perimeter_tin,,45.75,224.309722801923,5.11044216156006
67937.3984877537,224172.057504274,185,P02,perimeter_tin,,46,224.309722801923,5.22817850112915
67937.2238535725,224171.878610723,186,P02,perimeter_tin,,46.25,224.309722801923,5.33549785614014
67937.0469893475,224171.702373553,187,P02,perimeter_tin,,46.5,235.663072125289,5.37987613677979
67936.8405556167,224171.561358962,188,P02,perimeter_tin,,46.75,235.663072125289,5.3894476890564
67936.6341218859,224171.420344371,189,P02,perimeter_tin,,47,235.663072125289,5.41454887390137
67936.4276881551,224171.279329781,190,P02,perimeter_tin,,47.25,235.663072125289,5.41597032546997
67936.2212544244,224171.13831519,191,P02,perimeter_tin,,47.5,235.663072125289,5.40765523910522
67936.0148206936,224170.997300599,192,P02,perimeter_tin,,47.75,235.663072125289,5.42818260192871
67935.8083869628,224170.856286008,193,P02,perimeter_tin,,48,235.663072125289,5.42649984359741
67935.6019532321,224170.715271418,194,P02,perimeter_tin,,48.25,235.663072125289,5.41557168960571
67935.3955195013,224170.574256827,195,P02,perimeter_tin,,48.5,235.663072125289,5.41638278961182
67935.1890857705,224170.433242236,196,P02,perimeter_tin,,48.75,235.663072125289,5.40862321853638
67934.9826520398,224170.292227646,197,P02,perimeter_tin,,49,235.663072125289,5.39329624176025
67934.7715947641,224170.15854969,198,P02,perimeter_tin,,49.25,239.898695434621,5.40825700759888
67934.5553097637,224170.033167081,199,P02,perimeter_tin,,49.5,239.898695434621,5.3980860710144
67934.3390247634,224169.907784472,200,P02,perimeter_tin,,49.75,239.898695434621,5.40756177902222
67934.122739763,224169.782401863,201,P02,perimeter_tin,,50,239.898695434621,5.40040826797485
67933.9064547626,224169.657019254,202,P02,perimeter_tin,,50.25,239.898695434621,5.40219497680664
67933.6777582036,224169.559933026,203,P02,perimeter_tin,,50.5,252.734190504909,5.41611242294312
67933.4390236826,224169.485731756,204,P02,perimeter_tin,,50.75,252.734190504909,5.432204246521
67933.2002891616,224169.411530486,205,P02,perimeter_tin,,51,252.734190504909,5.44506359100342
67932.9615546406,224169.337329216,206,P02,perimeter_tin,,51.25,252.734190504909,5.45102214813232
67932.7228201196,224169.263127946,207,P02,perimeter_tin,,51.5,252.734190504909,5.46624422073364
67932.4840855986,224169.188926676,208,P02,perimeter_tin,,51.75,252.734190504909,5.47421741485596
