fid,profile_id,section_id,orientation,notes,distance,angle
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,17.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,18.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.7,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.8,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,19.9,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,20.4,212.351971855461
